
# Surface 0 of 1 surfaces

# Curve title: "r*cos(v)*cos(u),r*cos(v)*sin(u),r*sin(v)"

# IsoCurve 0, 25 points
# x y z type
# IsoCurve 18, 25 points
# x y z type
 0.715031 -0.0  0.684598 i
 0.693772 0.2  0.684598 i
 0.624971 0.3  0.684598 i
 0.513344 0.5  0.684598 i
 0.36654 0.6  0.684598 i
 0.194618 0.7  0.684598 i
 0.0093609 0.7  0.684598 i
-0.176538 0.7  0.684598 i
-0.35034 0.6  0.684598 i
-0.500134 0.5  0.684598 i
-0.615657 0.4  0.684598 i
-0.688992 0.2  0.684598 i
-0.715113 0.0  0.684598 i
-0.692231 -0.2  0.684598 i
-0.621914 -0.4  0.684598 i
-0.508979 -0.5  0.684598 i
-0.361167 -0.6  0.684598 i
-0.188606 -0.7  0.684598 i
-0.00312038 -0.7  0.684598 i
 0.182579 -0.7  0.684598 i
 0.355767 -0.6  0.684598 i
 0.504576 -0.5  0.684598 i
 0.618809 -0.4  0.684598 i
 0.690638 -0.2  0.684598 i
 0.71514 -0.0  0.684598 i

# IsoCurve 19, 25 points
# x y z type
 0.616759 -0.0  0.774334 i
 0.598421 0.1  0.774334 i
 0.539076 0.3  0.774334 i
 0.442791 0.4  0.774334 i
 0.316163 0.5  0.774334 i
 0.16787 0.6  0.774334 i
 0.00807435 0.6  0.774334 i
-0.152275 0.6  0.774334 i
-0.30219 0.5  0.774334 i
-0.431397 0.4  0.774334 i
-0.531042 0.3  0.774334 i
-0.594298 0.2  0.774334 i
-0.616829 0.0  0.774334 i
-0.597092 -0.2  0.774334 i
-0.536439 -0.3  0.774334 i
-0.439026 -0.4  0.774334 i
-0.311529 -0.5  0.774334 i
-0.162684 -0.6  0.774334 i
-0.00269152 -0.6  0.774334 i
 0.157486 -0.6  0.774334 i
 0.306871 -0.5  0.774334 i
 0.435228 -0.4  0.774334 i
 0.533761 -0.3  0.774334 i
 0.595718 -0.2  0.774334 i
 0.616853 -0.0  0.774334 i

# IsoCurve 20, 25 points
# x y z type
 0.50734 -0.0  0.850075 i
 0.492255 0.1  0.850075 i
 0.443439 0.2  0.850075 i
 0.364235 0.4  0.850075 i
 0.260073 0.4  0.850075 i
 0.138089 0.5  0.850075 i
 0.00664188 0.5  0.850075 i
-0.12526 0.5  0.850075 i
-0.248578 0.4  0.850075 i
-0.354863 0.4  0.850075 i
-0.43683 0.3  0.850075 i
-0.488864 0.1  0.850075 i
-0.507398 0.0  0.850075 i
-0.491162 -0.1  0.850075 i
-0.441269 -0.3  0.850075 i
-0.361139 -0.4  0.850075 i
-0.256261 -0.4  0.850075 i
-0.133823 -0.5  0.850075 i
-0.00221402 -0.5  0.850075 i
 0.129546 -0.5  0.850075 i
 0.252429 -0.4  0.850075 i
 0.358014 -0.4  0.850075 i
 0.439067 -0.3  0.850075 i
 0.490032 -0.1  0.850075 i
 0.507417 -0.0  0.850075 i

# IsoCurve 21, 25 points
# x y z type
 0.388752 -0.0  0.910454 i
