
# Surface 0 of 1 surfaces

# Curve title: "v(x,y)"

# Contour 0, label:    -0.36
-1  1.60846 -0.63 
-0.985748  1.65 -0.63 
-0.966777  1.7 -0.63 
-0.959596  1.71744 -0.63 
-0.946287  1.75 -0.63 
-0.923951  1.8 -0.63 
-0.919192  1.80994 -0.63 
-0.900031  1.85 -0.63 
-0.878788  1.8909 -0.63 
-0.874053  1.9 -0.63 
-0.846263  1.95 -0.63 
-0.838384  1.96329 -0.63 
-0.816439  2 -0.63 
-0.79798  2.02893 -0.63 
-0.784363  2.05 -0.63 
-0.757576  2.08905 -0.63 
-0.749937  2.1 -0.63 
-0.717172  2.14449 -0.63 
-0.713025  2.15 -0.63 
-0.676768  2.19589 -0.63 
-0.673442  2.2 -0.63 
-0.636364  2.24379 -0.63 
-0.630943  2.25 -0.63 
-0.59596  2.28856 -0.63 
-0.585219  2.3 -0.63 
-0.555556  2.33053 -0.63 
-0.535874  2.35 -0.63 
-0.515152  2.36991 -0.63 
-0.482415  2.4 -0.63 
-0.474747  2.40688 -0.63 
-0.434343  2.44173 -0.63 
-0.424333  2.45 -0.63 
-0.393939  2.47464 -0.63 
-0.36079  2.5 -0.63 

 1.50645 -0.5 -0.63 
 1.54545 -0.458144 -0.63 
 1.5523 -0.45 -0.63 
 1.58586 -0.408422 -0.63 
 1.59202 -0.4 -0.63 
 1.62626 -0.350084 -0.63 
 1.62631 -0.35 -0.63 
 1.65577 -0.3 -0.63 
 1.66667 -0.279348 -0.63 
 1.68083 -0.25 -0.63 
 1.70177 -0.2 -0.63 
 1.70707 -0.185459 -0.63 
 1.71898 -0.15 -0.63 
 1.73262 -0.1 -0.63 
 1.74282 -0.05 -0.63 
 1.74747 -0.0179393 -0.63 
 1.7499  0 -0.63 
 1.75409  0.05 -0.63 
 1.75546  0.1 -0.63 
 1.75421  0.15 -0.63 
 1.75055  0.2 -0.63 
 1.74747  0.224633 -0.63 
 1.74481  0.25 -0.63 
 1.73736  0.3 -0.63 
 1.72829  0.35 -0.63 
 1.71787  0.4 -0.63 
 1.70707  0.446604 -0.63 
 1.70642  0.45 -0.63 
 1.6948  0.5 -0.63 
 1.68285  0.55 -0.63 
 1.67095  0.6 -0.63 
 1.66667  0.616945 -0.63 
 1.65968  0.65 -0.63 
 1.64923  0.7 -0.63 
 1.63985  0.75 -0.63 
 1.63187  0.8 -0.63 
 1.62626  0.843853 -0.63 
 1.62554  0.85 -0.63 
 1.62076  0.9 -0.63 
 1.61783  0.95 -0.63 
 1.61685  1 -0.63 
 1.61783  1.05 -0.63 
 1.62076  1.1 -0.63 
 1.62554  1.15 -0.63 
 1.62626  1.15615 -0.63 
 1.63187  1.2 -0.63 
 1.63985  1.25 -0.63 
 1.64923  1.3 -0.63 
 1.65968  1.35 -0.63 
 1.66667  1.38306 -0.63 
 1.67095  1.4 -0.63 
